# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
27,4506,1.336854,2.220455,3.616098
28,4623,1.469657,3.265200,6.158765
29,4623,1.546209,2.389377,4.874297
34,5457,1.776920,3.245517,4.447457
36,5742,1.653706,3.386016,6.352478
36,5715,1.572230,3.640684,6.094877
36,5715,1.462591,2.763764,4.888732
29,4603,1.439498,2.611847,4.326266
30,4687,1.551939,2.864384,6.432113
30,4687,1.398897,2.559900,5.689438
37,5799,1.752551,3.156946,5.910494
36,5654,1.065158,2.454230,5.306505
30,4687,0.875249,2.085119,4.767753
31,4820,0.820973,1.884949,4.309141
32,5129,1.289859,2.935444,7.060946
32,5111,1.613819,5.024350,5.660830
32,5111,1.465663,2.878773,4.749257
33,5285,1.674627,3.531846,4.968479
33,5285,0.984599,2.432033,4.380272
31,4978,0.840295,2.429672,4.174020
32,5240,1.637569,3.890744,7.320046
32,5240,1.433560,2.906900,5.617660
31,5108,3.285845,3.407487,4.871235
33,5373,1.185871,2.897467,3.715054
33,5373,0.968799,2.354491,3.514688
32,5240,0.861738,2.258237,3.169338
30,4913,1.554711,3.132876,5.396221
25,4192,1.143341,2.234406,3.918046
12,2536,0.774767,1.774107,3.057959
12,2536,0.480113,1.263953,3.101879
12,2536,0.435498,1.078432,2.398159
13,2761,0.932043,1.490930,4.709884
13,2761,0.920429,1.722124,4.610972
13,2761,0.622988,1.236863,3.707546
12,2605,3.344634,1.090803,3.131499
12,2605,0.489427,0.933263,2.467729
12,2605,0.482720,0.938420,2.214068
12,2569,0.911368,1.592824,3.761534
11,2440,0.822305,1.298010,3.563508
11,2440,0.462210,0.930340,2.980743
7,2195,0.332982,0.916253,2.237205
8,2305,0.748640,1.419920,4.109454
10,2347,0.544259,1.365636,3.425177
10,2347,0.437704,1.140159,2.606279
8,2277,0.351541,0.986263,2.362332
9,2392,0.818954,2.145049,4.781021
9,2392,0.626522,1.484293,3.630306
9,2392,0.433806,1.215782,3.320108
9,2392,0.406073,1.154685,2.793030
9,2392,0.406348,1.171708,2.517030
