#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
168.209164,16,12,2676,7956
121.353255,14,14,2651,7897
128.042090,15,14,2726,8236
117.307193,12,18,2553,7661
20.863771,11,21,2006,6497
21.158588,12,21,1975,6913
138.616803,12,22,2002,7072
105.366462,12,23,2019,7023
96.484597,12,24,2055,6794
138.513717,12,25,2254,6804
77.238094,9,27,1879,5106
83.753888,10,27,1971,5706
77.664918,9,29,1896,5293
78.740333,8,31,1898,5420
67.197047,6,27,1363,3239
54.142585,7,30,1429,3596
78.043129,8,30,1447,3881
63.319013,9,30,1512,4218
85.845015,9,31,1573,4128
94.585491,9,32,1759,4323
91.170417,8,37,1763,4181
47.874627,4,38,1449,3013
61.251914,4,39,1302,2784
63.061025,4,37,1268,2710
64.600858,4,10,1321,2792
75.529397,5,10,1540,3397
92.706174,6,10,1726,3991
96.570411,7,10,1851,4514
77.291370,8,10,1895,4900
91.266617,9,10,1978,5222
104.003724,9,6,2036,5320
130.415401,10,6,2142,5638
96.476964,11,6,2236,5938
98.770015,12,6,2271,6208
147.577231,13,6,2379,6616
123.658470,14,6,2559,7052
108.606606,13,8,2651,7347
103.193353,12,6,2470,7090
83.268666,11,7,1955,5625
81.940325,11,8,1866,5543
128.224443,12,8,2008,6116
105.147614,14,7,2319,7107
136.854515,12,10,2173,6363
108.526849,14,9,2394,7010
141.614499,13,11,2335,6808
116.474893,15,10,2373,7302
107.967996,15,11,2266,7275
112.811545,16,11,2344,7653
104.125383,14,14,2236,7177
116.344754,15,14,2550,7757
169.843954,16,14,2635,8149
104.465578,14,16,2281,7241
106.134308,13,18,2380,7419
102.188291,12,20,2179,6482
118.580234,11,22,1998,5783
92.893164,12,22,2075,6038
100.350539,9,26,1828,4996
79.770347,10,26,1976,5336
97.267463,9,28,1835,4634
76.602897,7,31,1648,3580
67.204346,9,30,1739,4224
89.540769,9,31,1743,4438
60.373188,8,33,1582,3983
81.919061,8,34,1498,3970
93.093274,9,34,1609,4535
83.615383,11,33,1880,5461
132.037828,13,32,2141,6464
90.305094,12,34,1990,6117
98.721655,13,34,2079,6727
142.922262,13,35,2132,7231
115.976279,14,35,2373,8022
175.413930,14,36,2477,8352
159.127388,15,36,2686,9038
200.684882,15,35,2889,9392
191.358423,13,38,2932,9477
123.907225,11,36,2665,8655
109.134736,8,40,2459,7764
90.952133,5,29,1711,4528
80.382408,5,24,1553,3959
90.269579,6,24,1625,4438
98.529524,7,24,1753,4977
114.565064,7,22,1734,4771
81.810908,8,22,1945,5491
124.931104,9,22,2148,6186
99.456127,10,22,2305,6757
144.374997,11,22,2406,7232
112.613082,12,22,2545,7660
121.277708,13,22,2699,8164
175.225409,14,22,2773,8579
124.746849,14,17,2734,8409
178.866414,15,17,2736,8782
139.716950,16,17,2925,9275
149.442079,17,17,3110,9816
154.199851,18,17,3097,10169
140.905657,19,17,3079,10520
157.700546,19,10,3057,10597
238.906610,20,10,3255,11096
181.481031,21,10,3450,11629
295.460329,22,10,3607,12128
201.734323,22,11,3737,12449
205.745692,24,10,3983,12943
217.253331,24,11,4069,13297
189.316656,21,8,3630,12330
171.560377,22,8,3663,12733
109.875002,24,8,3833,13717
45.588924,27,7,3870,14690
